le_id,sub_prof_id,limit_id,client_id,limit_class,limit_type,limit_advised_indicator,limit_product_code,limit_product_name,activated_limit_indicator,activated_limit_status,activated_limit_class,activated_limit_type,sanctioned_amount,utilized_amount,available_amount,start_date,maturity_date,mth_end,src,cty
LE001,SP001,30000001,C100654,MAIN BORROWER LIMIT,OUTER,N,LELOANAPP,GUARANTEED INSTALLMENT LOAN,Y,Active,MAIN BORROWER LIMIT,CONTROL,267457,191659,75798,2018-09-28,2027-05-05,2024-12-31,SCI,SG
LE001,SP001,30000002,C100604,CO-BORROWER LIMIT,OUTER,Y,TRGTEESG,SHIPPING GUARANTEES,Y,Active,CO-BORROWER LIMIT,OUTER,141738,78681,63057,2016-10-29,2030-06-30,2024-12-31,SCI,SG
LE001,SP001,30000003,C100718,CO-BORROWER LIMIT,OUTER,N,LELOANMILCM,MORTGAGE LOANS-COMMERCIAL,Y,Active,CO-BORROWER LIMIT,OUTER,311043,210988,100055,2021-01-15,2028-05-30,2024-12-31,SCI,SG
LE001,SP001,30000004,C100159,MAIN BORROWER LIMIT,INNER,Y,LEGINTSBL C,COMMERCIAL STANDBY L/C'S,Y,Active,MAIN BORROWER LIMIT,INNER,746409,442884,303525,2024-05-15,2029-06-05,2024-12-31,SCI,SG
LE001,SP001,30000005,C100549,MAIN BORROWER LIMIT,INNER,Y,TRIMPFATR,ACCEPTANCE AGAINST TRUST RECEIPTS,Y,Active,MAIN BORROWER LIMIT,INNER,128778,73354,55424,2016-12-15,2027-03-30,2024-12-31,SCI,SG
LE001,SP001,30000006,C100046,MAIN BORROWER LIMIT,INNER,N,TRIMPFINFN,IMPORT INVOICE FINANCING,N,Inactive,MAIN BORROWER LIMIT,INNER,128780,38656,90124,2017-09-23,2028-11-24,2024-12-31,SCI,SG
LE001,SP001,30000007,C100166,CO-BORROWER LIMIT,INNER,Y,LELOANBILN,BUSINESS INSTALLMENT LOANS,Y,Active,CO-BORROWER LIMIT,CONTROL,789545,90215,699330,2017-09-26,2027-10-24,2024-12-31,SCI,SG
LE001,SP001,30000008,C100546,MAIN BORROWER LIMIT,OUTER,N,TRLCISOLU,IMPORT LCS - UNSECURED,Y,Active,MAIN BORROWER LIMIT,CONTROL,350611,193275,157336,2017-03-06,2028-09-02,2024-12-31,SCI,SG
LE001,SP001,30000009,C100863,MAIN BORROWER LIMIT,OUTER,N,TROEXFOB,EXPORT BILLS DISCOUNTING,N,Inactive,MAIN BORROWER LIMIT,OUTER,101775,24414,77361,2018-06-30,2028-08-13,2024-12-31,SCI,SG
LE001,SP001,30000010,C100217,CO-BORROWER LIMIT,INNER,N,SSCUSTLOVR,LIMIT-OVERNIGHT CUSTODY SERVICES,N,Inactive,MAIN BORROWER LIMIT,OUTER,280004,201740,78264,2018-10-24,2028-04-29,2024-12-31,SCI,SG
LE001,SP001,30000011,C100764,CO-BORROWER LIMIT,CONTROL,N,GMGMKTLAR2,LIMIT-ACR (CAT 2),Y,Active,CO-BORROWER LIMIT,CONTROL,102393,50598,51795,2016-05-19,2027-02-12,2024-12-31,SCI,SG
LE001,SP001,30000012,C100881,MAIN BORROWER LIMIT,OUTER,N,LELOANTLN,TERM LOANS,N,Inactive,MAIN BORROWER LIMIT,OUTER,102157,40483,61674,2018-03-05,2029-06-23,2024-12-31,SCI,SG
LE001,SP001,30000013,C100541,CO-BORROWER LIMIT,CONTROL,N,LELOANMLRS,MORTGAGE LOANS-RESIDENTIAL,Y,Active,CO-BORROWER LIMIT,CONTROL,207308,175446,31862,2016-06-08,2028-05-07,2024-12-31,SCI,SG
LE001,SP001,30000014,C100787,CO-BORROWER LIMIT,OUTER,Y,CRRISKCOLL,LIMIT-INDIRECT RISK-COLLATERAL,Y,Active,CO-BORROWER LIMIT,CONTROL,24021,17673,6348,2019-03-01,2027-06-13,2024-12-31,SCI,SG
LE001,SP001,30000015,C100891,CO-BORROWER LIMIT,CONTROL,N,SSCUSTLDAY,LIMIT-INTRADAY CUSTODY SERVICES,Y,Active,CO-BORROWER LIMIT,OUTER,29000,15527,13473,2016-02-15,2029-10-29,2024-12-31,SCI,SG
LE001,SP001,30000016,C100940,MAIN BORROWER LIMIT,CONTROL,N,TRIMPFOIML,IMPORT LOAN,Y,Active,MAIN BORROWER LIMIT,INNER,92754,24626,68128,2022-02-26,2030-01-12,2024-12-31,SCI,SG
LE001,SP001,30000017,C100969,MAIN BORROWER LIMIT,OUTER,N,TRGTEECUBG,BOND & GUARANTEES,N,Inactive,MAIN BORROWER LIMIT,CONTROL,59110,43697,15413,2023-06-02,2030-07-21,2024-12-31,SCI,SG
LE001,SP001,30000018,C100486,MAIN BORROWER LIMIT,INNER,N,GMGMKTLMSS,LIMIT-MARKETABLE SECURITIES (NON-TM),N,Inactive,MAIN BORROWER LIMIT,CONTROL,222848,162620,60228,2017-02-13,2027-12-24,2024-12-31,SCI,SG
LE001,SP001,30000019,C100730,CO-BORROWER LIMIT,INNER,N,TRIMPFILTR,LOANS AGAINST TRUST RECEIPTS,N,Inactive,CO-BORROWER LIMIT,CONTROL,65642,29954,35688,2022-01-28,2028-02-11,2024-12-31,SCI,SG
LE001,SP001,30000020,C100065,CO-BORROWER LIMIT,OUTER,N,GMGMKTLABS,LIMIT-ASSET BACKED SECURITIES (NON-ALM),Y,Active,CO-BORROWER LIMIT,OUTER,39644,27237,12407,2024-03-12,2028-02-19,2024-12-31,SCI,SG
LE001,SP001,30000021,C100069,MAIN BORROWER LIMIT,INNER,Y,TRECBCNBCND,CREDIT BILLS NEGOTIATED - DISCREPANT,Y,Active,MAIN BORROWER LIMIT,OUTER,704785,377278,327507,2016-09-29,2030-01-20,2024-12-31,SCI,SG
LE001,SP001,30000022,C100590,CO-BORROWER LIMIT,OUTER,N,LEODREOD,OVERDRAFT,N,Inactive,MAIN BORROWER LIMIT,CONTROL,129861,56872,72989,2020-02-09,2029-02-26,2024-12-31,SCI,SG
LE001,SP001,30000023,C100478,MAIN BORROWER LIMIT,CONTROL,N,GMGMKTLAAR,LIMIT-ACR (CAT 3),N,Inactive,CO-BORROWER LIMIT,OUTER,174124,47673,126451,2022-09-21,2029-11-10,2024-12-31,SCI,SG
LE001,SP001,30000024,C100459,MAIN BORROWER LIMIT,INNER,Y,TRGTEEIOFG,SILENT PAYMENT GTEE - OIF,Y,Active,MAIN BORROWER LIMIT,OUTER,39153,17572,21581,2018-09-07,2027-05-27,2024-12-31,SCI,SG
LE001,SP001,30000025,C100051,MAIN BORROWER LIMIT,OUTER,N,LELOANSTLN,SHORT TERM LOANS,N,Inactive,CO-BORROWER LIMIT,INNER,94430,22887,71543,2020-05-11,2027-03-08,2024-12-31,SCI,SG
LE001,SP001,30000026,C100168,CO-BORROWER LIMIT,OUTER,N,LEODREAYE,LIMIT-INTRADAY OVERDRAFT,Y,Active,CO-BORROWER LIMIT,INNER,181847,55776,126071,2017-01-16,2029-12-20,2024-12-31,SCI,SG
LE001,SP001,30000027,C100677,CO-BORROWER LIMIT,OUTER,Y,GMGMKTLRBR,LIMIT-REPOS ACR (CAT 2),Y,Active,MAIN BORROWER LIMIT,CONTROL,51482,17104,34378,2024-04-17,2030-02-16,2024-12-31,SCI,SG
LE001,SP001,30000028,C100488,MAIN BORROWER LIMIT,OUTER,N,CRRISKSRWR,LIMIT-RECEIVABLE SERVICES WITHOUT RECOURSE,Y,Active,MAIN BORROWER LIMIT,CONTROL,236972,195652,41320,2020-04-30,2027-07-11,2024-12-31,SCI,SG
LE001,SP001,30000029,C100964,MAIN BORROWER LIMIT,CONTROL,N,TRSCFIVEPR,VENDOR PREPAY FINANCING,N,Inactive,MAIN BORROWER LIMIT,CONTROL,89264,49872,39392,2021-04-23,2028-04-25,2024-12-31,SCI,SG
LE001,SP001,30000030,C100209,CO-BORROWER LIMIT,OUTER,Y,GMGMKTLMSS,LIMIT-MARKETABLE SECURITIES (TM - LIQUIDITY),Y,Active,CO-BORROWER LIMIT,INNER,121577,40674,80903,2016-06-04,2027-04-05,2024-12-31,SCI,SG
LE001,SP001,30000031,C100009,CO-BORROWER LIMIT,CONTROL,N,TROEXFINN,EXPORT INVOICE FINANCING,N,Inactive,MAIN BORROWER LIMIT,CONTROL,89169,25741,63428,2020-12-10,2027-03-28,2024-12-31,SCI,SG
LE001,SP001,30000032,C100900,MAIN BORROWER LIMIT,INNER,Y,GMGMKTFLPO,LIMIT-FX PRE-SETTLEMENT - OVERALL,Y,Active,MAIN BORROWER LIMIT,INNER,1037451,622999,414452,2017-07-10,2029-10-26,2024-12-31,SCI,SG
LE001,SP001,30000033,C100008,CO-BORROWER LIMIT,CONTROL,Y,TRLCISOLIS,IMPORT LCS - SECURED,N,Inactive,CO-BORROWER LIMIT,OUTER,160572,115318,45254,2023-02-11,2028-05-18,2024-12-31,SCI,SG
LE001,SP001,30000034,C100288,MAIN BORROWER LIMIT,CONTROL,N,TRGTEEFING,FINANCIAL GUARANTEES / SBLC (TRADE),N,Inactive,MAIN BORROWER LIMIT,CONTROL,56516,27674,28842,2024-04-14,2027-05-16,2024-12-31,SCI,SG
LE001,SP001,30000035,C100649,CO-BORROWER LIMIT,INNER,Y,GMGMKTM SLC,LIMIT-MARKETABLE SECURITIES (TM - CAPITAL),Y,Active,CO-BORROWER LIMIT,OUTER,370476,265671,104805,2018-09-02,2030-10-23,2024-12-31,SCI,SG
LE001,SP001,30000036,C100437,MAIN BORROWER LIMIT,OUTER,Y,TRLCISBBLC,BACK-TO-BACK LCS SECURED,N,Inactive,MAIN BORROWER LIMIT,CONTROL,48009,3957,44052,2020-09-18,2030-02-12,2024-12-31,SCI,SG
LE001,SP001,30000037,C100565,MAIN BORROWER LIMIT,INNER,Y,LELOANRTLN,REVOLVING TERM LOANS,Y,Active,MAIN BORROWER LIMIT,OUTER,200558,172285,28273,2022-07-02,2030-09-04,2024-12-31,SCI,SG
LE001,SP001,30000038,C100255,MAIN BORROWER LIMIT,INNER,N,CRRISKRDWR,LIMIT-RECEIVABLES DISCOUNTING-CAT5,N,Inactive,MAIN BORROWER LIMIT,CONTROL,22932,16614,6318,2022-03-15,2027-10-06,2024-12-31,SCI,SG
LE001,SP001,30000039,C100999,MAIN BORROWER LIMIT,INNER,Y,CRRISKLOIF,LIMIT-OIF (CAT5),N,Inactive,MAIN BORROWER LIMIT,INNER,43123,33291,9832,2016-08-12,2028-03-30,2024-12-31,SCI,SG
LE001,SP001,30000040,C100273,MAIN BORROWER LIMIT,CONTROL,Y,TRLBDCLBD,LOCAL BILLS DISCOUNTED,N,Inactive,MAIN BORROWER LIMIT,OUTER,198166,45501,152665,2019-09-11,2028-10-24,2024-12-31,SCI,SG
LE001,SP001,30000041,C100312,MAIN BORROWER LIMIT,OUTER,Y,GMGMKTSYND,SYNDICATIONS,Y,Active,MAIN BORROWER LIMIT,OUTER,340600,313420,27180,2021-09-22,2028-10-27,2024-12-31,SCI,SG
LE001,SP001,30000042,C100656,CO-BORROWER LIMIT,CONTROL,N,CACOLLCHQP,CHEQUES PURCHASED,Y,Active,CO-BORROWER LIMIT,OUTER,193178,162140,31038,2021-12-05,2027-11-08,2024-12-31,SCI,SG
LE001,SP001,30000043,C100594,CO-BORROWER LIMIT,OUTER,Y,LELOANMORT,COMMERCIAL/ INDUSTRIAL MORTGAGE,Y,Active,CO-BORROWER LIMIT,INNER,144980,64190,80790,2019-02-14,2027-07-02,2024-12-31,SCI,SG
LE001,SP001,30000044,C100394,MAIN BORROWER LIMIT,INNER,Y,GMGMKT PMLN,LIMIT-PRECIOUS METAL LOANS,Y,Active,MAIN BORROWER LIMIT,CONTROL,120438,80473,39965,2016-07-14,2030-08-12,2024-12-31,SCI,SG
LE001,SP001,30000045,C100201,CO-BORROWER LIMIT,INNER,Y,TROEXFODP,EXPORT BILLS DISCOUNTING D/P,N,Inactive,CO-BORROWER LIMIT,INNER,37103,24007,13096,2023-06-17,2028-07-15,2024-12-31,SCI,SG
LE001,SP001,30000046,C100519,CO-BORROWER LIMIT,CONTROL,N,TRLIMISTTL,LIMIT-SHORT TERM TRADE LIMIT,Y,Active,CO-BORROWER LIMIT,OUTER,79233,17641,61592,2017-05-26,2028-12-23,2024-12-31,SCI,SG
LE001,SP001,30000047,C100693,MAIN BORROWER LIMIT,CONTROL,N,TRRFACRECS,RECEIVABLES SERVICES,Y,Active,MAIN BORROWER LIMIT,INNER,102678,31647,71031,2020-01-14,2030-02-07,2024-12-31,SCI,SG
LE001,SP001,30000048,C100621,CO-BORROWER LIMIT,INNER,N,LELOANBEFF,PRODUCT LELOANBEFF,N,Inactive,CO-BORROWER LIMIT,CONTROL,468420,94959,373461,2023-11-27,2028-06-11,2024-12-31,SCI,SG
LE001,SP001,30000049,C100527,CO-BORROWER LIMIT,OUTER,N,LELOANAPP,GUARANTEED INSTALLMENT LOAN,N,Inactive,CO-BORROWER LIMIT,OUTER,229490,178062,51428,2023-03-16,2026-12-28,2024-12-31,SCI,SG
LE001,SP001,30000050,C100047,MAIN BORROWER LIMIT,INNER,N,TRGTEESG,SHIPPING GUARANTEES,N,Inactive,MAIN BORROWER LIMIT,CONTROL,27916,15859,12057,2016-10-19,2030-10-04,2024-12-31,SCI,SG
LE001,SP001,30000051,C100393,CO-BORROWER LIMIT,INNER,Y,LELOANMILCM,MORTGAGE LOANS-COMMERCIAL,N,Inactive,MAIN BORROWER LIMIT,INNER,225051,55577,169474,2017-01-19,2029-10-03,2024-12-31,SCI,SG
LE001,SP001,30000052,C100475,MAIN BORROWER LIMIT,CONTROL,Y,LEGINTSBL C,COMMERCIAL STANDBY L/C'S,N,Inactive,MAIN BORROWER LIMIT,INNER,110737,72069,38668,2018-08-03,2030-03-11,2024-12-31,SCI,SG
LE001,SP001,30000053,C100324,CO-BORROWER LIMIT,CONTROL,N,TRIMPFATR,ACCEPTANCE AGAINST TRUST RECEIPTS,N,Inactive,CO-BORROWER LIMIT,CONTROL,82708,37327,45381,2023-01-27,2029-07-07,2024-12-31,SCI,SG
LE001,SP001,30000054,C100460,CO-BORROWER LIMIT,OUTER,N,TRIMPFINFN,IMPORT INVOICE FINANCING,Y,Active,CO-BORROWER LIMIT,INNER,300041,184247,115794,2021-10-11,2029-04-26,2024-12-31,SCI,SG
LE001,SP001,30000055,C100079,CO-BORROWER LIMIT,OUTER,Y,LELOANBILN,BUSINESS INSTALLMENT LOANS,Y,Active,CO-BORROWER LIMIT,OUTER,456342,84764,371578,2020-07-24,2030-09-29,2024-12-31,SCI,SG
