client_id,le_id,sub_prof_id,orig_customer_name,customer_name,cust_seg,cust_seg_desc,status_code,onboard_date,client_size,inc_num,mth_end,src,cty
C100000,LE001,SP001,Pacific Exports Pte Ltd,Pacific Exports Pte Ltd,A,Local Corporate,Active,04-03-2011,Small,DEFAULT,2015-06-30,SCI,SG
C100001,LE001,SP001,Evergreen Commodities Pte Ltd,Evergreen Commodities Pte Ltd,ME,Medium enterprises,Active,20-04-2007,Medium,DEFAULT,2022-03-26,SCI,SG
C100002,LE001,SP001,Sunrise Logistics Pte Ltd,Sunrise Logistics Pte Ltd,50,Private Banking,Active,18-09-2005,Large,DEFAULT,2010-09-02,SCI,SG
C100003,LE001,SP001,Sunrise Logistics Pte Ltd,Sunrise Logistics Pte Ltd,30,Business Clients,Active,02-05-2016,Small,DEFAULT,2023-07-03,SCI,SG
C100004,LE001,SP001,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,K,Global corporate,Active,24-09-2020,Small,DEFAULT,2022-03-23,SCI,SG
C100005,LE001,SP001,Nova Retail Pte Ltd,Nova Retail Pte Ltd,30,Business Clients,Active,21-03-2018,Small,DEFAULT,2016-03-28,SCI,SG
C100006,LE001,SP001,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,MM,Middle market,Active,25-06-2014,Medium,DEFAULT,2017-08-19,SCI,SG
C100007,LE001,SP001,Zenith Manufacturing Pte Ltd,Zenith Manufacturing Pte Ltd,50,Private Banking,Active,15-02-2022,Large,DEFAULT,2017-07-20,SCI,SG
C100008,LE001,SP001,Pacific Exports Pte Ltd,Pacific Exports Pte Ltd,A,Local Corporate,Active,04-03-2007,Medium,DEFAULT,2018-01-19,SCI,SG
C100009,LE001,SP001,Cedar Technologies Pte Ltd,Cedar Technologies Pte Ltd,E,Commodity Traders & Agriculture,Active,07-02-2023,Medium,DEFAULT,2010-12-22,SCI,SG
C100010,LE001,SP001,Pioneer Energy Pte Ltd,Pioneer Energy Pte Ltd,K,Global corporate,Active,28-06-2013,Large,DEFAULT,2011-10-08,SCI,SG
C100011,LE001,SP001,Merlion Holdings Pte Ltd,Merlion Holdings Pte Ltd,A,Local Corporate,Active,15-11-2018,Medium,DEFAULT,2018-02-10,SCI,SG
C100012,LE001,SP001,Harbour Shipping Pte Ltd,Harbour Shipping Pte Ltd,HV,High value small business,Active,11-01-2006,Small,DEFAULT,2015-02-10,SCI,SG
C100013,LE001,SP001,Merlion Holdings Pte Ltd,Merlion Holdings Pte Ltd,50,Private Banking,Dormant,23-03-2010,Medium,DEFAULT,2012-04-07,SCI,SG
C100014,LE001,SP001,Apex Solutions Pte Ltd,Apex Solutions Pte Ltd,K,Global corporate,Active,05-04-2019,Large,DEFAULT,2018-03-08,SCI,SG
C100015,LE001,SP001,Orchid Foods Pte Ltd,Orchid Foods Pte Ltd,K,Global corporate,Active,13-09-2009,Large,DEFAULT,2015-12-28,SCI,SG
C100016,LE001,SP001,Sunrise Logistics Pte Ltd,Sunrise Logistics Pte Ltd,30,Business Clients,Active,02-11-2008,Small,DEFAULT,2021-12-24,SCI,SG
C100017,LE001,SP001,Evergreen Commodities Pte Ltd,Evergreen Commodities Pte Ltd,S,Own account,Active,06-07-2013,Small,DEFAULT,2016-01-21,SCI,SG
C100018,LE001,SP001,Evergreen Commodities Pte Ltd,Evergreen Commodities Pte Ltd,A,Local Corporate,Active,27-11-2023,Large,DEFAULT,2011-04-04,SCI,SG
C100019,LE001,SP001,Evergreen Commodities Pte Ltd,Evergreen Commodities Pte Ltd,ME,Medium enterprises,Active,21-01-2023,Medium,DEFAULT,2017-01-28,SCI,SG
C100020,LE001,SP001,Apex Solutions Pte Ltd,Apex Solutions Pte Ltd,30,Business Clients,Active,25-09-2009,Medium,DEFAULT,2022-09-21,SCI,SG
C100021,LE001,SP001,Maple Investments Pte Ltd,Maple Investments Pte Ltd,30,Business Clients,Active,13-03-2016,Small,DEFAULT,2018-11-16,SCI,SG
C100022,LE001,SP001,Pioneer Energy Pte Ltd,Pioneer Energy Pte Ltd,A,Local Corporate,Active,18-02-2008,Medium,DEFAULT,2015-07-14,SCI,SG
C100023,LE001,SP001,Zenith Manufacturing Pte Ltd,Zenith Manufacturing Pte Ltd,A,Local Corporate,Active,11-08-2014,Medium,DEFAULT,2023-02-02,SCI,SG
C100024,LE001,SP001,Apex Solutions Pte Ltd,Apex Solutions Pte Ltd,K,Global corporate,Active,08-02-2008,Large,DEFAULT,2021-06-06,SCI,SG
C100025,LE001,SP001,Vertex Finance Pte Ltd,Vertex Finance Pte Ltd,S,Own account,Active,21-01-2006,Small,DEFAULT,2012-06-17,SCI,SG
C100026,LE001,SP001,Lotus Capital Pte Ltd,Lotus Capital Pte Ltd,NA,Not applicable,Active,07-10-2022,Small,DEFAULT,2019-06-21,SCI,SG
C100027,LE001,SP001,Sunrise Logistics Pte Ltd,Sunrise Logistics Pte Ltd,K,Global corporate,Active,14-05-2018,Small,DEFAULT,2020-07-01,SCI,SG
C100028,LE001,SP001,Zenith Manufacturing Pte Ltd,Zenith Manufacturing Pte Ltd,30,Business Clients,Active,05-04-2005,Large,DEFAULT,2012-07-27,SCI,SG
C100029,LE001,SP001,Zenith Manufacturing Pte Ltd,Zenith Manufacturing Pte Ltd,30,Business Clients,Active,18-08-2012,Medium,DEFAULT,2012-07-02,SCI,SG
C100030,LE001,SP001,Merlion Holdings Pte Ltd,Merlion Holdings Pte Ltd,A,Local Corporate,Active,06-03-2015,Medium,DEFAULT,2010-01-27,SCI,SG
C100031,LE001,SP001,Zenith Manufacturing Pte Ltd,Zenith Manufacturing Pte Ltd,MM,Middle market,Active,02-02-2022,Medium,DEFAULT,2014-01-03,SCI,SG
C100032,LE001,SP001,Pacific Exports Pte Ltd,Pacific Exports Pte Ltd,A,Local Corporate,Active,11-09-2011,Medium,DEFAULT,2021-05-21,SCI,SG
C100033,LE001,SP001,Harbour Shipping Pte Ltd,Harbour Shipping Pte Ltd,30,Business Clients,Active,07-02-2022,Small,DEFAULT,2013-08-16,SCI,SG
C100034,LE001,SP001,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,30,Business Clients,Active,06-07-2007,Small,DEFAULT,2018-02-21,SCI,SG
C100035,LE001,SP001,Merlion Holdings Pte Ltd,Merlion Holdings Pte Ltd,MM,Middle market,Active,28-05-2010,Large,DEFAULT,2022-09-22,SCI,SG
C100036,LE001,SP001,Sunrise Logistics Pte Ltd,Sunrise Logistics Pte Ltd,30,Business Clients,Active,26-11-2015,Small,DEFAULT,2011-07-21,SCI,SG
C100037,LE001,SP001,Lotus Capital Pte Ltd,Lotus Capital Pte Ltd,ME,Medium enterprises,Active,30-08-2015,Small,DEFAULT,2022-05-01,SCI,SG
C100038,LE001,SP001,Orchid Foods Pte Ltd,Orchid Foods Pte Ltd,MM,Middle market,Active,10-08-2018,Large,DEFAULT,2019-06-29,SCI,SG
C100039,LE001,SP001,Harbour Shipping Pte Ltd,Harbour Shipping Pte Ltd,A,Local Corporate,Active,10-12-2021,Large,DEFAULT,2014-07-06,SCI,SG
C100040,LE001,SP001,Merlion Holdings Pte Ltd,Merlion Holdings Pte Ltd,MM,Middle market,Active,25-01-2020,Medium,DEFAULT,2018-05-18,SCI,SG
C100041,LE001,SP001,Pioneer Energy Pte Ltd,Pioneer Energy Pte Ltd,A,Local Corporate,Active,16-02-2015,Large,DEFAULT,2012-09-18,SCI,SG
