client_id,le_id,sub_prof_id,orig_customer_name,customer_name,cust_seg,cust_seg_desc,status_code,onboard_date,client_size,inc_num,mth_end,src,cty
C100000,LE001,SP001,Pacific Exports Pte Ltd,Pacific Exports Pte Ltd,A,Local Corporate,Active,04-03-2011,Small,DEFAULT,30-06-2015,SCI,SG
C100001,LE002,SP001,Evergreen Commodities Pte Ltd,Evergreen Commodities Pte Ltd,ME,Medium enterprises,Active,20-04-2007,Medium,DEFAULT,26-03-2022,SCI,SG
C100002,LE003,SP001,Sunrise Logistics Pte Ltd,Sunrise Logistics Pte Ltd,50,Private Banking,Active,18-09-2005,Large,DEFAULT,02-09-2010,SCI,SG
C100003,LE004,SP001,Sunrise Logistics Pte Ltd,Sunrise Logistics Pte Ltd,30,Business Clients,Active,02-05-2016,Small,DEFAULT,03-07-2023,SCI,SG
C100004,LE005,SP001,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,K,Global corporate,Active,24-09-2020,Small,DEFAULT,23-03-2022,SCI,SG
C100005,LE006,SP001,Nova Retail Pte Ltd,Nova Retail Pte Ltd,30,Business Clients,Active,21-03-2018,Small,DEFAULT,28-03-2016,SCI,SG
C100006,LE007,SP001,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,MM,Middle market,Active,25-06-2014,Medium,DEFAULT,19-08-2017,SCI,SG
C100007,LE008,SP001,Zenith Manufacturing Pte Ltd,Zenith Manufacturing Pte Ltd,50,Private Banking,Active,15-02-2022,Large,DEFAULT,20-07-2017,SCI,SG
C100008,LE009,SP001,Pacific Exports Pte Ltd,Pacific Exports Pte Ltd,A,Local Corporate,Active,04-03-2007,Medium,DEFAULT,19-01-2018,SCI,SG
C100009,LE010,SP001,Cedar Technologies Pte Ltd,Cedar Technologies Pte Ltd,E,Commodity Traders & Agriculture,Active,07-02-2023,Medium,DEFAULT,22-12-2010,SCI,SG
C100010,LE011,SP001,Pioneer Energy Pte Ltd,Pioneer Energy Pte Ltd,K,Global corporate,Active,28-06-2013,Large,DEFAULT,08-10-2011,SCI,SG
C100011,LE012,SP001,Merlion Holdings Pte Ltd,Merlion Holdings Pte Ltd,A,Local Corporate,Active,15-11-2018,Medium,DEFAULT,10-02-2018,SCI,SG
C100012,LE013,SP001,Harbour Shipping Pte Ltd,Harbour Shipping Pte Ltd,HV,High value small business,Active,11-01-2006,Small,DEFAULT,10-02-2015,SCI,SG
C100013,LE014,SP001,Merlion Holdings Pte Ltd,Merlion Holdings Pte Ltd,50,Private Banking,Dormant,23-03-2010,Medium,DEFAULT,07-04-2012,SCI,SG
C100014,LE015,SP001,Apex Solutions Pte Ltd,Apex Solutions Pte Ltd,K,Global corporate,Active,05-04-2019,Large,DEFAULT,08-03-2018,SCI,SG
C100015,LE016,SP001,Orchid Foods Pte Ltd,Orchid Foods Pte Ltd,K,Global corporate,Active,13-09-2009,Large,DEFAULT,28-12-2015,SCI,SG
C100016,LE017,SP001,Sunrise Logistics Pte Ltd,Sunrise Logistics Pte Ltd,30,Business Clients,Active,02-11-2008,Small,DEFAULT,24-12-2021,SCI,SG
C100017,LE018,SP001,Evergreen Commodities Pte Ltd,Evergreen Commodities Pte Ltd,S,Own account,Active,06-07-2013,Small,DEFAULT,21-01-2016,SCI,SG
C100018,LE019,SP001,Evergreen Commodities Pte Ltd,Evergreen Commodities Pte Ltd,A,Local Corporate,Active,27-11-2023,Large,DEFAULT,04-04-2011,SCI,SG
C100019,LE020,SP001,Evergreen Commodities Pte Ltd,Evergreen Commodities Pte Ltd,ME,Medium enterprises,Active,21-01-2023,Medium,DEFAULT,28-01-2017,SCI,SG
C100020,LE021,SP001,Apex Solutions Pte Ltd,Apex Solutions Pte Ltd,30,Business Clients,Active,25-09-2009,Medium,DEFAULT,21-09-2022,SCI,SG
C100021,LE022,SP001,Maple Investments Pte Ltd,Maple Investments Pte Ltd,30,Business Clients,Active,13-03-2016,Small,DEFAULT,16-11-2018,SCI,SG
C100022,LE023,SP001,Pioneer Energy Pte Ltd,Pioneer Energy Pte Ltd,A,Local Corporate,Active,18-02-2008,Medium,DEFAULT,14-07-2015,SCI,SG
C100023,LE024,SP001,Zenith Manufacturing Pte Ltd,Zenith Manufacturing Pte Ltd,A,Local Corporate,Active,11-08-2014,Medium,DEFAULT,02-02-2023,SCI,SG
C100024,LE025,SP001,Apex Solutions Pte Ltd,Apex Solutions Pte Ltd,K,Global corporate,Active,08-02-2008,Large,DEFAULT,06-06-2021,SCI,SG
C100025,LE026,SP001,Vertex Finance Pte Ltd,Vertex Finance Pte Ltd,S,Own account,Active,21-01-2006,Small,DEFAULT,17-06-2012,SCI,SG
C100026,LE027,SP001,Lotus Capital Pte Ltd,Lotus Capital Pte Ltd,NA,Not applicable,Active,07-10-2022,Small,DEFAULT,21-06-2019,SCI,SG
